,Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
222,Vaughn Grissom,BOS,INF,03/01/24,Strained hamstring,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/12)
223,Jesse Scholtens,CHW,SP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
224,Ben Lively,CLE,SP,Mar '24,Viral illness,Activated,03/25/24,04/09/24,04/17/24,Activated
225,Trevor Stephan,CLE,RP,Mar '24,Elbow surgery (UCL),60-Day IL,03/25/24,05/24/24,,Questionable for 2024 season
226,Xzavion Curry,CLE,SP,Mar '24,Viral illness,Activated,03/25/24,04/09/24,04/15/24,Activated
227,Gerrit Cole,NYY,SP,03/01/24,Elbow inflammation,60-Day IL,03/28/24,05/27/24,,Expected to miss at least 10-12 weeks
228,Dylan Covey,PHI,RP,03/01/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
229,Michael Rucker,PHI,RP,03/01/24,Finger numbness,15-Day IL,03/25/24,04/09/24,,No timetable for return
230,Orion Kerkering,PHI,RP,03/01/24,Strained forearm,Activated,03/25/24,04/09/24,04/14/24,Activated
231,Yasmani Grandal,PIT,C,Mar '24,Plantar fascitis,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/16)
232,Colin Holderman,PIT,RP,Mar '24,Illness,Activated,03/25/24,04/09/24,04/11/24,Activated
233,Sam Haggerty,SEA,INF/OF,Mar '24,Medical procedure,Activated,03/25/24,04/04/24,04/17/24,Activated
234,Michael Lorenzen,TEX,SP,Mar '24,Strained neck,Activated,03/25/24,04/09/24,04/15/24,Activated
235,Mason Thompson,WSN,RP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
236,Jose A. Ferrer,WSN,RP,Mar '24,Strained upper back,60-Day IL,03/28/24,05/27/24,,No timetable for return
237,Brusdar Graterol,LAD,RP,03/02/24,Shoulder inflammation,60-Day IL,03/17/24,05/22/24,,No timetable for return
238,Lars Nootbaar,STL,OF,03/02/24,Non-displaced rib fractures,Activated,03/25/24,04/04/24,04/11/24,Activated
239,Luis Medina,OAK,SP,03/04/24,Sprained knee,60-Day IL,03/25/24,05/24/24,,No timetable for return
240,Tristan Beck,SFG,SP,03/04/24,Vascular surgery (upper arm aneurysm),60-Day IL,03/28/24,05/27/24,,No timetable for return
241,Sonny Gray,STL,SP,03/04/24,Strained hamstring,Activated,03/25/24,04/09/24,04/09/24,Activated
242,Caleb Kilian,CHC,SP,03/05/24,Strained shoulder,60-Day IL,03/28/24,05/27/24,,Likely out until July
243,Xavier Edwards,MIA,INF/OF,03/05/24,Foot infection,10-Day IL,03/25/24,04/04/24,,No timetable for return
244,Devin Williams,MIL,RP,03/05/24,Stress fractures in back,60-Day IL,03/25/24,05/24/24,,Likely out until at least mid-July
245,Ji Hwan Bae,PIT,INF/OF,03/05/24,Strained hip,Activated,03/25/24,04/04/24,04/15/24,Activated
246,Nathaniel Lowe,TEX,1B,03/05/24,Strained oblique,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/12)
247,Oswald Peraza,NYY,INF,03/06/24,Strained shoulder,10-Day IL,03/25/24,04/04/24,,Shut down from throwing for 6-8 weeks
248,Scott Alexander,OAK,RP,03/06/24,Stress reaction in rib,15-Day IL,03/25/24,04/09/24,,No timetable for return
249,Rafael Marchán,PHI,C,03/07/24,Back discomfort,10-Day IL,03/25/24,04/04/24,,No timetable for return
250,Keynan Middleton,STL,RP,03/07/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
251,Sam Hentges,CLE,SP,03/08/24,Finger inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
252,Jameson Taillon,CHC,SP,03/09/24,Strained lower back,Activated,03/25/24,04/09/24,04/18/24,Activated
253,Jake Brentz,KCR,RP,03/09/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,Out at least 6 weeks
254,Blake Treinen,LAD,RP,03/09/24,Bruised lung,15-Day IL,03/17/24,04/07/24,,No timetable for return
255,Gavin Williams,CLE,SP,03/10/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
256,Edward Cabrera,MIA,RP,03/10/24,Shoulder impingement,Activated,03/25/24,04/09/24,04/15/24,Activated
257,Jonny DeLuca,TBR,OF,03/10/24,Fractured hand,10-Day IL,03/25/24,04/04/24,,No timetable for return
258,Jordan Romano,TOR,RP,03/10/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
259,Gregory Santos,SEA,RP,03/11/24,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
260,Lucas Giolito,BOS,SP,03/12/24,Elbow surgery (internal brace),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
261,Rob Refsnyder,BOS,OF,03/12/24,Fractured toe,Activated,03/25/24,04/04/24,04/18/24,Activated
262,Josh Taylor,KCR,RP,03/12/24,Biceps soreness,60-Day IL,03/25/24,05/24/24,,No timetable for return
263,Taj Bradley,TBR,SP,03/12/24,Strained pectoral,15-Day IL,03/25/24,04/09/24,,No timetable for return
264,Patrick Wisdom,CHC,INF/OF,03/13/24,Strained back,Activated,03/25/24,04/04/24,04/18/24,Activated
265,Jhoan Duran,MIN,RP,03/13/24,Strained oblique,15-Day IL,03/25/24,04/09/24,,No timetable for return
266,Carmen Mlodzinski,PIT,RP,03/13/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/10/24,Activated
267,Luis Patiño,SDP,RP,03/13/24,Elbow inflammation,15-Day IL,03/17/24,04/07/24,,No timetable for return
268,Ethan Small,SFG,RP,03/13/24,Strained oblique,60-Day IL,03/28/24,05/27/24,,No timetable for return
269,Danny Jansen,TOR,C,03/13/24,Fractured pisiform bone (right wrist),Activated,03/25/24,04/04/24,04/15/24,Activated
270,Erik Swanson,TOR,RP,03/13/24,Forearm inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
271,José Urquidy,HOU,SP,03/15/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
272,Justin Topa,MIN,RP,03/15/24,Patellar tendinitis (left knee),15-Day IL,03/25/24,04/09/24,,No timetable for return
273,Jackson Kowar,SEA,RP,03/15/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
274,Drew Rom,STL,SP,03/15/24,Shoulder biceps tendinits,15-Day IL,03/25/24,04/09/24,,No timetable for return
275,Nick Lodolo,CIN,SP,03/16/24,Calf tenosynovitis,Activated,03/25/24,04/09/24,04/13/24,Activated
276,TJ Friedl,CIN,OF,03/16/24,Non-displaced wrist fracture,10-Day IL,03/25/24,04/04/24,,Expected to miss 6-8 weeks
277,Michael Massey,KCR,2B,03/16/24,Lower back tightness,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/5)
278,DJ LeMahieu,NYY,INF,03/16/24,Fractured foot (non-displaced),10-Day IL,03/25/24,04/04/24,,No timetable for return
279,Brandon Williamson,CIN,SP,03/17/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
280,Jonathan Aranda,TBR,INF/OF,03/17/24,Fractured finger (right ring),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
281,Josh Lowe,TBR,OF,03/17/24,Strained oblique,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/18)
282,Eduardo Rodriguez,ARI,SP,03/19/24,Strained lat,60-Day IL,03/25/24,05/24/24,,No timetable for return
283,Max Stassi,CHW,C,03/20/24,Hip inflammation,60-Day IL,03/25/24,05/24/24,,No timetable for return
284,Oliver Ortega,HOU,RP,03/21/24,Elbow surgery (loose body removal),60-Day IL,03/25/24,05/24/24,,Expected to miss 3-4 months
285,Dauri Moreta,PIT,SP,03/21/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
286,Paul Sewald,ARI,RP,03/23/24,Strained oblique,15-Day IL,03/25/24,04/09/24,,No timetable for return
287,Taijuan Walker,PHI,SP,03/23/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/11)
288,Bryan Woo,SEA,SP,03/23/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
289,Garrett Mitchell,MIL,OF,03/24/24,Fractured finger (left index),60-Day IL,03/25/24,05/24/24,,Likely out until early June
290,Sean Reid-Foley,NYM,RP,03/24/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/14)
291,Josh Staumont,MIN,RP,03/25/24,Strained calf,15-Day IL,03/26/24,04/10/24,,Rehab assignment (4/9)
292,Dylan Carlson,STL,OF,03/25/24,Sprained shoulder (AC joint),10-Day IL,03/26/24,04/05/24,,No timetable for return
293,Matt McLain,CIN,2B,03/26/24,Shoulder surgery,10-Day IL,03/25/24,04/04/24,,Out until at least August
294,Miguel Andujar,OAK,OF/INF,03/27/24,Knee surgery (lateral meniscectomy),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
295,Justin Steele,CHC,SP,03/28/24,Strained hamstring,15-Day IL,03/29/24,04/13/24,,Out at least 1 month
296,Royce Lewis,MIN,3B,03/28/24,Strained quad,10-Day IL,03/29/24,04/08/24,,Out at least 1 month
297,Luke Jackson,SFG,RP,03/28/24,Strained lower back,15-Day IL,03/29/24,04/13/24,,No timetable for return
298,Riley O'Brien,STL,RP,03/28/24,Strained forearm flexor,15-Day IL,03/29/24,04/13/24,,No timetable for return
299,Nick Senzel,WSN,3B,03/28/24,Fractured thumb (right),Activated,03/27/24,04/06/24,04/15/24,Activated
300,Sean Murphy,ATL,C,03/29/24,Strained oblique,10-Day IL,03/30/24,04/09/24,,No timetable for return
301,Anthony DeSclafani,MIN,SP,03/29/24,Elbow/Flexor tendon surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
302,Cionel Pérez,BAL,RP,03/30/24,Strained oblique,15-Day IL,03/31/24,04/15/24,,No timetable for return
303,Jason Heyward,LAD,OF,03/30/24,Lower back tightness,10-Day IL,03/31/24,04/10/24,,No timetable for return
304,Trevor Megill,MIL,RP,03/30/24,Concussion,7-Day IL,03/31/24,04/07/24,,Rehab assignment (4/13)
305,Taylor Clarke,MIL,RP,03/30/24,Knee surgery (torn meniscus),15-Day IL,03/25/24,04/09/24,,Likely out until late May
306,Luis F. Ortiz,PHI,RP,03/30/24,Sprained ankle,15-Day IL,03/31/24,04/15/24,,No timetable for return
307,Alek Thomas,ARI,OF,03/31/24,Strained hamstring,10-Day IL,04/01/24,04/11/24,,No timetable for return
308,Eloy Jiménez,CHW,OF,03/31/24,Strained groin,Activated,04/02/24,04/12/24,04/15/24,Activated
309,Tylor Megill,NYM,SP,03/31/24,Strained shoulder,15-Day IL,04/01/24,04/16/24,,No timetable for return
310,Jason Delay,PIT,C,03/31/24,Knee inflammation,10-Day IL,04/01/24,04/11/24,,No timetable for return
311,Daniel Bard,COL,RP,Apr '24,Flexor tendon surgery,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
312,Matt Carpenter,STL,1B,04/01/24,Strained oblique,10-Day IL,04/02/24,04/12/24,,No timetable for return
313,Josh Jung,TEX,3B,04/01/24,Wrist surgery,60-Day IL,04/02/24,06/01/24,,Expected to miss 8-10 weeks
314,Framber Valdez,HOU,SP,04/02/24,Elbow inflammation,15-Day IL,04/06/24,04/21/24,,No timetable for return
315,Jakob Junis,MIL,SP,04/02/24,Shoulder impingement,15-Day IL,04/03/24,04/18/24,,No timetable for return
316,Geraldo Perdomo,ARI,SS,04/03/24,Torn knee meniscus,10-Day IL,04/04/24,04/14/24,,Expected to miss at least 1 month
317,Nick Pivetta,BOS,SP,04/03/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
318,Bennett Sousa,HOU,RP,04/03/24,Thoracic outlet syndrome surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
319,Daniel Duarte,MIN,RP,04/03/24,Strained triceps,15-Day IL,04/04/24,04/19/24,,No timetable for return
320,Jonathan Loáisiga,NYY,RP,04/03/24,Torn elbow ligament (UCL),60-Day IL,04/04/24,06/03/24,,Out for 2024 season
321,Trevor Gott,OAK,RP,04/03/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
322,Victor Robles,WSN,OF,04/03/24,Strained hamstring,10-Day IL,04/04/24,04/14/24,,No timetable for return
323,Josiah Gray,WSN,SP,04/04/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
324,Trevor Story,BOS,SS,04/05/24,Shoulder surgery (fractured glenoid),10-Day IL,04/06/24,04/16/24,,Questionable for 2024 season
325,Julian Merryweather,CHC,RP,04/05/24,Rib stress fracture,60-Day IL,04/06/24,06/05/24,,No timetable for return
326,John Brebbia,CHW,RP,04/05/24,Strained calf,15-Day IL,04/06/24,04/21/24,,No timetable for return
327,Luis Robert Jr.,CHW,OF,04/05/24,Strained hip flexor,10-Day IL,04/06/24,04/16/24,,Expected to miss at least 6-8 weeks
328,Ryan Borucki,PIT,RP,04/05/24,Triceps inflammation,15-Day IL,04/06/24,04/21/24,,No timetable for return
329,Max Kepler,MIN,OF,04/06/24,Knee contusion,10-Day IL,04/07/24,04/22/24,,Rehab assignment (4/18)
330,Josh Sborz,TEX,RP,04/06/24,Strained shoulder (rotator cuff),15-Day IL,04/07/24,04/22/24,,No timetable for return
331,Andy Ibáñez,DET,INF/OF,04/07/24,Strained hamstring,10-Day IL,04/08/24,04/18/24,,No timetable for return
332,Guillermo Zuñiga,LAA,RP,04/07/24,Strained pectoral,15-Day IL,04/08/24,04/23/24,,No timetable for return
333,Chase Silseth,LAA,SP,04/07/24,Elbow inflammation,15-Day IL,04/08/24,04/23/24,,No timetable for return
334,Brent Rooker,OAK,OF,04/07/24,Costochondral cartilage injury,10-Day IL,04/08/24,04/18/24,,No timetable for return
335,Collin Snider,SEA,RP,04/07/24,Knee contusion,15-Day IL,04/08/24,04/23/24,,No timetable for return
336,Justin Foscue,TEX,INF,04/07/24,Strained oblique,60-Day IL,04/08/24,06/07/24,,No timetable for return
337,Eury Pérez,MIA,SP,04/08/24,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
338,Cody Bolton,SEA,RP,04/08/24,Kidney stones,15-Day IL,04/06/24,04/21/24,,No timetable for return
339,Yoán Moncada,CHW,3B,04/09/24,Strained groin,60-Day IL,04/10/24,06/09/24,,Likely out until at least mid-July
340,Connor Brogdon,LAD,RP,04/09/24,Plantar fascitis,15-Day IL,04/10/24,04/25/24,,No timetable for return
341,Keibert Ruiz,WSN,C,04/09/24,Influenza,10-Day IL,04/12/24,04/22/24,,No timetable for return
342,Romy Gonzalez,BOS,INF/OF,04/10/24,Sprained wrist,10-Day IL,04/11/24,04/21/24,,No timetable for return
343,Chris Murphy,BOS,SP,04/10/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
344,Bobby Miller,LAD,SP,04/10/24,Shoulder inflammation,15-Day IL,04/11/24,04/26/24,,No timetable for return
345,Jon Berti,NYY,INF/OF,04/10/24,Strained groin,10-Day IL,04/11/24,04/21/24,,No timetable for return
346,Brandon Lowe,TBR,2B,04/10/24,Strained oblique,10-Day IL,04/09/24,04/19/24,,No timetable for return
347,Cody Bradford,TEX,SP,04/10/24,Strained lower back,15-Day IL,04/11/24,04/26/24,,No timetable for return
348,Isaiah Campbell,BOS,RP,04/11/24,Shoulder impingement,15-Day IL,04/12/24,04/27/24,,No timetable for return
349,Spencer Strider,ATL,SP,04/12/24,Elbow surgery (internal brace),15-Day IL,04/06/24,04/21/24,,Out for 2024 season
350,Tyler Wells,BAL,SP,04/12/24,Elbow inflammation,15-Day IL,04/13/24,04/28/24,,No timetable for return
351,Tejay Antone,CIN,RP,04/12/24,Elbow surgery (UCL/flexor tendon repair),15-Day IL,04/08/24,04/23/24,,Out for 2024 season
352,Shane Bieber,CLE,SP,04/12/24,Tommy John surgery,60-Day IL,04/03/24,06/02/24,,Out for 2024 season
353,Christian Yelich,MIL,OF,04/12/24,Strained lower back,10-Day IL,04/13/24,04/23/24,,No timetable for return
354,Carlos Correa,MIN,SS,04/12/24,Strained oblique,10-Day IL,04/13/24,04/23/24,,No timetable for return
355,Angel Martínez,CLE,INF,04/13/24,Fractured hamate,60-Day IL,03/25/24,05/24/24,,No timetable for return
356,Kris Bryant,COL,1B/OF,04/13/24,Strained lower back,10-Day IL,04/14/24,04/24/24,,No timetable for return
357,Robert Stephenson,LAA,RP,04/13/24,Elbow discomfort,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
358,J.B. Bukauskas,MIL,RP,04/13/24,Strained triceps,15-Day IL,04/14/24,04/29/24,,No timetable for return
359,Marco Gonzales,PIT,SP,04/13/24,Strained forearm,15-Day IL,04/14/24,04/29/24,,No timetable for return
360,Seiya Suzuki,CHC,OF,04/14/24,Strained oblique,10-Day IL,04/15/24,04/25/24,,No timetable for return
361,Jake Burger,MIA,3B/1B,04/14/24,Strained oblique,10-Day IL,04/15/24,04/25/24,,No timetable for return
362,J.D. Davis,OAK,3B/1B,04/14/24,Strained groin,10-Day IL,04/15/24,04/25/24,,No timetable for return
363,Yu Darvish,SDP,SP,04/14/24,Neck tightness,15-Day IL,04/15/24,04/30/24,,No timetable for return
364,Dominic Canzone,SEA,OF,04/14/24,Sprained shoulder (AC joint),10-Day IL,04/15/24,04/25/24,,No timetable for return
365,Ozzie Albies,ATL,2B,04/15/24,Fractured toe,10-Day IL,04/16/24,04/26/24,,No timetable for return
366,Tyler O'Neill,BOS,OF,04/15/24,Concussion,7-Day IL,04/16/24,04/23/24,,No timetable for return
367,Garrett Whitlock,BOS,SP,04/16/24,Strained oblique,15-Day IL,04/17/24,05/02/24,,No timetable for return
368,Eli Morgan,CLE,RP,04/16/24,Shoulder inflammation,15-Day IL,04/17/24,05/02/24,,No timetable for return
369,Brock Burke,TEX,RP,04/18/24,Hand surgery (non-throwing),60-Day IL,04/13/24,06/12/24,,No timetable for return
370,JT Chargois,MIA,RP,Feb '24,Neck spasms,15-Day IL,03/25/24,04/09/24,,No timetable for return
371,Michael Lorenzen,TEX,SP,Mar '24,Strained neck,Activated,03/25/24,04/09/24,04/15/24,Activated
372,Yu Darvish,SDP,SP,04/14/24,Neck tightness,15-Day IL,04/15/24,04/30/24,,No timetable for return
373,Sam Bachman,LAA,SP,Sep '23,Arthroscopic shoulder surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
374,Josh Winder,MIN,RP,Sep '23,Shoulder discomfort (scapular stress fracture),60-Day IL,03/28/24,05/27/24,,No timetable for return
375,Tommy Kahnle,NYY,RP,09/20/23,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
376,Kyle Wright,KCR,SP,10/11/23,Shoulder surgery (torn capsule),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
377,Brandon Woodruff,MIL,SP,10/13/23,Shoulder surgery (anterior capsule repair),60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
378,Clayton Kershaw,LAD,SP,11/03/23,Shoulder surgery (glenohumeral ligaments and capsu,60-Day IL,03/20/24,05/19/24,,Out for at least 1st half
379,Kendall Graveman,HOU,RP,Jan '24,Shoulder surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
380,Sam Moll,CIN,RP,Feb '24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (3/29)
381,James Karinchak,CLE,RP,Feb '24,Shoulder inflammation,60-Day IL,03/25/24,05/24/24,,No timetable for return
382,Justin Verlander,HOU,SP,Feb '24,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
383,Carlos Hernández,KCR,RP,Feb '24,Shoulder soreness,15-Day IL,03/25/24,04/09/24,,No timetable for return
384,Emmet Sheehan,LAD,SP,Feb '24,Forearm inflammation/shoulder soreness,60-Day IL,03/17/24,05/22/24,,No timetable for return
385,Braxton Garrett,MIA,SP,Feb '24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
386,Wade Miley,MIL,SP,Feb '24,Shoulder impingement,Activated,03/25/24,04/09/24,04/10/24,Activated
387,Zack Weiss,MIN,RP,Feb '24,Strained shoulder (teres major),60-Day IL,03/25/24,05/24/24,,No timetable for return
388,Glenn Otto,SDP,SP,Feb '24,Strained shoulder (teres major),15-Day IL,03/17/24,04/07/24,,No timetable for return
389,Eduard Bazardo,SEA,RP,Feb '24,Strained shoulder (rotator cuff),15-Day IL,03/25/24,04/09/24,,No timetable for return
390,Kodai Senga,NYM,SP,02/21/24,Strained shoulder (posterior capsule),60-Day IL,03/25/24,05/24/24,,No timetable for return
391,Shane Drohan,CHW,SP,02/22/24,Shoulder surgery (nerve decompression),60-Day IL,03/25/24,05/24/24,,No timetable for return
392,Jimmy Lambert,CHW,RP,02/25/24,Strained shoulder (rotator cuff),60-Day IL,03/28/24,05/27/24,,No timetable for return
393,Alek Manoah,TOR,SP,02/27/24,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
394,Dylan Covey,PHI,RP,03/01/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
395,Brusdar Graterol,LAD,RP,03/02/24,Shoulder inflammation,60-Day IL,03/17/24,05/22/24,,No timetable for return
396,Caleb Kilian,CHC,SP,03/05/24,Strained shoulder,60-Day IL,03/28/24,05/27/24,,Likely out until July
397,Oswald Peraza,NYY,INF,03/06/24,Strained shoulder,10-Day IL,03/25/24,04/04/24,,Shut down from throwing for 6-8 weeks
398,Edward Cabrera,MIA,RP,03/10/24,Shoulder impingement,Activated,03/25/24,04/09/24,04/15/24,Activated
399,Drew Rom,STL,SP,03/15/24,Shoulder biceps tendinits,15-Day IL,03/25/24,04/09/24,,No timetable for return
400,Brandon Williamson,CIN,SP,03/17/24,Strained shoulder,15-Day IL,03/25/24,04/09/24,,No timetable for return
401,Taijuan Walker,PHI,SP,03/23/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/11)
402,Sean Reid-Foley,NYM,RP,03/24/24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/14)
403,Dylan Carlson,STL,OF,03/25/24,Sprained shoulder (AC joint),10-Day IL,03/26/24,04/05/24,,No timetable for return
404,Matt McLain,CIN,2B,03/26/24,Shoulder surgery,10-Day IL,03/25/24,04/04/24,,Out until at least August
405,Tylor Megill,NYM,SP,03/31/24,Strained shoulder,15-Day IL,04/01/24,04/16/24,,No timetable for return
406,Jakob Junis,MIL,SP,04/02/24,Shoulder impingement,15-Day IL,04/03/24,04/18/24,,No timetable for return
407,Trevor Story,BOS,SS,04/05/24,Shoulder surgery (fractured glenoid),10-Day IL,04/06/24,04/16/24,,Questionable for 2024 season
408,Josh Sborz,TEX,RP,04/06/24,Strained shoulder (rotator cuff),15-Day IL,04/07/24,04/22/24,,No timetable for return
409,Bobby Miller,LAD,SP,04/10/24,Shoulder inflammation,15-Day IL,04/11/24,04/26/24,,No timetable for return
410,Isaiah Campbell,BOS,RP,04/11/24,Shoulder impingement,15-Day IL,04/12/24,04/27/24,,No timetable for return
411,Dominic Canzone,SEA,OF,04/14/24,Sprained shoulder (AC joint),10-Day IL,04/15/24,04/25/24,,No timetable for return
412,Eli Morgan,CLE,RP,04/16/24,Shoulder inflammation,15-Day IL,04/17/24,05/02/24,,No timetable for return
413,Walker Buehler,LAD,SP,08/23/22,Tommy John surgery,15-Day IL,03/17/24,04/07/24,,Rehab assignment (3/31)
414,Shane Baz,TBR,SP,09/28/22,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
415,Lucas Gilbreath,COL,RP,03/14/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
